epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,52.0753,0.94889,0.73224,0.8137,1,0.99259,0.995,0.83028,0.53947,1.40198,0.79258,0.000523586,0.000523586,0.000523586
66,52.8394,0.87384,0.75138,0.81991,1,0.99069,0.995,0.84923,0.48054,1.41332,0.78421,0.000509438,0.000509438,0.000509438
67,53.6039,0.89336,0.71347,0.81656,1,0.99069,0.995,0.84923,0.48054,1.41332,0.78421,0.000495291,0.000495291,0.000495291
68,54.43,0.86033,0.76143,0.82769,1,0.9932,0.995,0.84581,0.5457,1.34688,0.79035,0.000481144,0.000481144,0.000481144
69,55.2203,0.93928,0.71775,0.81756,1,0.9932,0.995,0.84581,0.5457,1.34688,0.79035,0.000466997,0.000466997,0.000466997
70,56.0388,0.93702,0.65415,0.81481,0.99506,1,0.995,0.84835,0.57166,1.2627,0.79315,0.00045285,0.00045285,0.00045285
71,56.864,0.9173,0.82808,0.80866,0.99506,1,0.995,0.84835,0.57166,1.2627,0.79315,0.000438703,0.000438703,0.000438703
72,57.6941,0.89168,0.65612,0.80758,0.98036,1,0.995,0.8528,0.67044,1.20346,0.79023,0.000424556,0.000424556,0.000424556
73,58.4292,0.92317,0.66775,0.80403,0.98036,1,0.995,0.8528,0.67044,1.20346,0.79023,0.000410409,0.000410409,0.000410409
74,59.3996,0.86444,0.63566,0.8126,0.97143,1,0.995,0.85278,0.66629,1.12795,0.78723,0.000396262,0.000396262,0.000396262
75,60.2135,0.80394,0.64579,0.80064,0.97143,1,0.995,0.85278,0.66629,1.12795,0.78723,0.000382115,0.000382115,0.000382115
76,61.1063,0.80102,0.63901,0.79177,0.97165,1,0.995,0.88149,0.62615,1.04236,0.78075,0.000367967,0.000367967,0.000367967
77,61.9001,0.88593,0.64284,0.81982,0.97165,1,0.995,0.88149,0.62615,1.04236,0.78075,0.00035382,0.00035382,0.00035382
78,62.6882,0.79626,0.61736,0.80206,0.97694,1,0.995,0.91606,0.57385,0.96754,0.77893,0.000339673,0.000339673,0.000339673
79,63.4486,0.85954,0.67818,0.80383,0.97694,1,0.995,0.91606,0.57385,0.96754,0.77893,0.000325526,0.000325526,0.000325526
80,64.2161,0.86787,0.67094,0.79417,0.98015,1,0.995,0.94092,0.52001,0.89753,0.78152,0.000311379,0.000311379,0.000311379
81,64.941,0.83242,0.6745,0.80287,0.98015,1,0.995,0.94092,0.52001,0.89753,0.78152,0.000297232,0.000297232,0.000297232
82,65.7947,0.8012,0.60841,0.81796,0.98284,1,0.995,0.97555,0.45415,0.83268,0.78238,0.000283085,0.000283085,0.000283085
83,66.5648,0.85232,0.61046,0.81725,0.98284,1,0.995,0.97555,0.45415,0.83268,0.78238,0.000268938,0.000268938,0.000268938
84,67.4022,0.81289,0.61944,0.81311,0.98439,1,0.995,0.9508,0.40874,0.77903,0.78261,0.000254791,0.000254791,0.000254791
85,68.1417,0.76756,0.6061,0.82409,0.98439,1,0.995,0.9508,0.40874,0.77903,0.78261,0.000240644,0.000240644,0.000240644
86,69.1208,0.77355,0.62405,0.82916,0.98623,1,0.995,0.9258,0.45227,0.74178,0.78206,0.000226497,0.000226497,0.000226497
87,70.0085,0.79763,0.62217,0.80182,0.98623,1,0.995,0.9258,0.45227,0.74178,0.78206,0.000212349,0.000212349,0.000212349
88,70.953,0.70438,0.58035,0.80475,0.98694,1,0.995,0.92579,0.50068,0.71824,0.78016,0.000198202,0.000198202,0.000198202
89,71.7097,0.76556,0.60554,0.8116,0.98694,1,0.995,0.92579,0.50068,0.71824,0.78016,0.000184055,0.000184055,0.000184055
90,72.5284,0.80954,0.64494,0.80146,0.98674,1,0.995,0.92579,0.50749,0.70798,0.77864,0.000169908,0.000169908,0.000169908
91,73.3176,0.71714,0.56355,0.79395,0.98674,1,0.995,0.92579,0.50749,0.70798,0.77864,0.000155761,0.000155761,0.000155761
92,74.1477,0.71491,0.53542,0.79396,0.98726,1,0.995,0.90087,0.48555,0.68351,0.77811,0.000141614,0.000141614,0.000141614
93,74.9761,0.76592,0.54171,0.81171,0.98726,1,0.995,0.90087,0.48555,0.68351,0.77811,0.000127467,0.000127467,0.000127467
94,75.7561,0.71355,0.55155,0.78777,0.98743,1,0.995,0.91598,0.44896,0.66372,0.77866,0.00011332,0.00011332,0.00011332
95,76.5007,0.69396,0.59501,0.79241,0.98743,1,0.995,0.91598,0.44896,0.66372,0.77866,9.91726e-05,9.91726e-05,9.91726e-05
96,77.3199,0.77161,0.53577,0.80893,0.98788,1,0.995,0.91598,0.45038,0.65627,0.77754,8.50255e-05,8.50255e-05,8.50255e-05
97,78.0861,0.68263,0.57261,0.79111,0.98788,1,0.995,0.91598,0.45038,0.65627,0.77754,7.08784e-05,7.08784e-05,7.08784e-05
98,78.8728,0.79873,0.56595,0.81403,0.98802,1,0.995,0.91599,0.45244,0.64862,0.77628,5.67313e-05,5.67313e-05,5.67313e-05
99,79.8489,0.81534,0.57204,0.81521,0.98802,1,0.995,0.91599,0.45244,0.64862,0.77628,4.25842e-05,4.25842e-05,4.25842e-05
100,80.6037,0.70231,0.53398,0.81374,0.98822,1,0.995,0.91601,0.44989,0.64261,0.77569,2.84371e-05,2.84371e-05,2.84371e-05
